,id,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
50,1eYcLu1SAEUsO3YI85uwaI,Go-Getter Greg,"You're Awful, I Love You",Ludo,2007-01-01,191066,28,0.64,0.00489,0.64,0.904,1.49e-05,0.548,-4.021,0.101,134.916,4
51,0K9n8TBThz4xNAkF1eIlB6,Sweet Transvestite,The Rocky Horror Picture Show - Original Soundtrack,Various Artists,1975-01-10,204370,54,0.543,0.592,0.543,0.422,0.0,0.246,-12.243,0.383,107.146,4
52,5p7ujcrUXASCNwRaWNHR1C,Without Me,Without Me,Halsey,2018-10-04,201660,81,0.752,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,4
53,1akgiRM3mN2nxu2AX6ACCW,I Love College,Asleep In The Bread Aisle,Asher Roth,2009-01-01,241933,61,0.713,0.0897,0.713,0.826,0.0,0.421,-4.075,0.243,86.444,4
54,10qnLYMfMcYJwR8DwGHJKE,Make Me Feel Good,A Future in Blue,Zoogma,2017-08-04,260000,40,0.559,0.0107,0.559,0.932,0.000221,0.283,-1.777,0.267,159.985,4
55,5EkRJITdPG60ovDdCE3B3V,My Boo,My Boo,Brasstracks,2020-12-11,138805,44,0.744,0.0172,0.744,0.472,0.864,0.158,-7.321,0.202,136.924,4
56,4FX4z1AZVgXmGHI3HPvvOo,Just Exist,Just Exist,Eliza & The Delusionals,2019-05-16,237085,44,0.542,0.0495,0.542,0.872,9.81e-05,0.0819,-2.553,0.0402,137.975,4
57,1w2b6f5Cgwy8ZmKdHUBSiW,Teenage Dirtbag,Wheatus,Wheatus,2000-07-25,241666,49,0.624,0.34,0.624,0.854,0.00013,0.17,-3.891,0.0513,94.651,4
58,6jlsVLKMRfHoDJbo5qMQ71,Gloria,Tutto Tozzi,Umberto Tozzi,2006-04-28,262733,37,0.748,0.0801,0.748,0.923,0.0,0.423,-3.165,0.057,131.76,4
59,63vL5oxWrlvaJ0ayNaQnbX,Istanbul (Not Constantinople),Flood,They Might Be Giants,1990-01-02,153813,65,0.688,0.0801,0.688,0.748,0.00453,0.136,-9.39,0.0377,114.144,4
60,5FnyVsDPOblZ8gVvaXta9z,"Mahna, Mahna",b-sides and rarities,Cake,2007-11-13,174066,44,0.742,0.213,0.742,0.483,0.471,0.0733,-11.369,0.155,89.883,4
61,1nUeBKMsacPjvE3aczMHnG,Tijuana Sunrise,The Knife,Goldfinger,2017-07-21,218487,47,0.544,0.126,0.544,0.843,0.0,0.357,-5.052,0.0942,168.044,4
62,4X3qGigyU6ARi3HP4lWD95,Superman,Hang-Ups,Goldfinger,1998-06-01,185026,63,0.429,0.000131,0.429,0.937,0.0002,0.0807,-3.986,0.0573,194.838,4
63,1DcJbLjuRIZ1TBY4P3YX8a,Spliff,Meeting On the Mountain,Fruition & Grant Farm,2014-09-23,186283,15,0.551,0.581,0.551,0.815,0.0229,0.125,-5.145,0.0398,94.535,4
64,1erBt7EF3vdkBGdR5WcIDp,Lazy Gold,Meeting On the Mountain,Fruition & Grant Farm,2014-09-23,248154,9,0.446,0.614,0.446,0.623,0.446,0.285,-6.261,0.0282,151.783,4
65,5A50MU6c2KJl3NzVUomrzY,I-70,Happy Trails (American Kestrel Falco Sparverius),Rapidgrass,2017-06-24,225493,10,0.602,0.489,0.602,0.606,1.42e-05,0.105,-9.075,0.0329,105.156,4
66,1aG6z2rVKmLrgqoXcxzxFS,Three Sisters,Shadowbox,Beats Antique,2016-10-05,239500,41,0.629,0.00767,0.629,0.685,0.481,0.0955,-4.346,0.063,148.107,4
67,0Jk5J9HrDmCEKV7xYmaB6m,Beauty Beats,Collide,Beats Antique,2008-08-26,225000,43,0.601,0.0575,0.601,0.755,0.887,0.347,-5.528,0.0405,180.02,4
68,3anOLstTVypgnV5yVNLmc7,As We Proceed,As We Proceed,GRiZMATiK,2017-01-20,260069,43,0.61,0.0168,0.61,0.83,0.0119,0.0927,-2.974,0.0636,109.946,4
69,4NE3oWyUQI2b2NjyMyC8Bi,Turtles All the Way Down,Metamodern Sounds in Country Music,Sturgill Simpson,2014-05-13,188186,58,0.553,0.306,0.553,0.314,0.000578,0.104,-9.217,0.0396,91.7,4
70,4pNiE4LCVV74vfIBaUHm1b,Sir Duke,Songs In The Key Of Life,Stevie Wonder,1976-09-28,232760,69,0.588,0.16,0.588,0.568,0.0,0.0792,-9.766,0.0672,106.938,4
71,2qOm7ukLyHUXWyR4ZWLwxA,It Was A Good Day,The Predator,Ice Cube,1992-11-17,260000,75,0.798,0.33,0.798,0.744,0.000106,0.292,-5.328,0.136,82.356,4
72,4faZbPZPQAmHADVtQNsv5E,Hotel Yorba,White Blood Cells,The White Stripes,2001-07-03,130333,51,0.385,0.446,0.385,0.793,0.0,0.0762,-2.647,0.0943,194.735,4
73,3MsWy7Is42kx8OImv41rUG,I'm Slowly Turning Into You,Icky Thump,The White Stripes,2007-06-15,274533,38,0.336,0.0236,0.336,0.67,0.0257,0.346,-5.623,0.0627,80.272,4
