,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
91,Skibidi,"Antipositive, Pt. 2",Little Big,10/5/2018,163282,59,0.872,8.14E-05,0.872,0.758,0.387,0.0632,-6.006,0.0542,131.995,4
92,Look Around,Four,Blues Traveler,1/1/1994,341760,32,0.537,0.305,0.537,0.662,0.0103,0.152,-6.84,0.0301,127.038,4
93,Sister,Are You Gonna Go My Way,Lenny Kravitz,3/9/1993,424933,40,0.616,0.0103,0.616,0.335,0.00823,0.0675,-14.415,0.0345,138.008,4
94,"White, Discussion",Throwing Copper,Live,1/1/1994,366146,36,0.434,0.00173,0.434,0.907,0.00803,0.518,-6.225,0.0524,94.41,4
95,One (Remastered),...And Justice for All (Remastered Deluxe Box Set),Metallica,9/7/1988,446145,66,0.438,0.000668,0.438,0.687,0.0801,0.42,-9.15,0.0619,103.01,3
96,Romeo and Juliet,Making Movies,Dire Straits,10/17/1980,361395,54,0.602,0.437,0.602,0.574,0.00415,0.0751,-8.169,0.0278,87.318,4
97,Sultans of Swing,Dire Straits,Dire Straits,10/7/1978,350400,65,0.73,0.0632,0.73,0.868,0.0661,0.318,-7.325,0.0288,148.217,4
98,Stand by Me,Don't Play That Song (Mono),Ben E. King,8/20/1962,180055,77,0.65,0.57,0.65,0.306,7.07E-06,0.0707,-9.443,0.0393,118.068,4
99,Cookie Thumper!,Donker Mag,Die Antwoord,6/3/2014,200225,55,0.784,0.0891,0.784,0.795,0,0.326,-4.159,0.225,133.938,4
100,The Beauty Of Gray,Mental Jewelry,Live,1/1/1991,252906,36,0.701,0.0765,0.701,0.545,0,0.106,-10.207,0.101,128.83,4
101,The Dance,Strummin' On Garth,Brooks Jefferson,3/13/2015,219242,55,0.539,0.811,0.539,0.374,0.000464,0.11,-7.434,0.0273,135.113,4
102,Baby's on Fire,Ten$ion,Die Antwoord,1/31/2012,236840,62,0.829,0.0521,0.829,0.844,0.00148,0.171,-4.329,0.0966,130.04,4
103,Piano Man,Piano Man (Legacy Edition),Billy Joel,11/7/1973,339000,75,0.331,0.605,0.331,0.55,3.96E-06,0.192,-6.483,0.0272,177.734,3
104,Your Song,Elton John,Elton John,4/10/1970,241786,76,0.554,0.828,0.554,0.315,5.53E-06,0.101,-11.028,0.0298,128.157,4
105,Ridiculous Thoughts - Remastered 2020,No Need To Argue (Deluxe),The Cranberries,11/13/2020,273426,33,0.427,0.00497,0.427,0.824,1.56E-05,0.092,-6.107,0.0411,102.131,4
106,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Unplugged (Deluxe Edition),Eric Clapton,8/25/1992,289026,69,0.558,0.321,0.558,0.524,0.000952,0.94,-11.626,0.0459,93.654,4
107,Walking in My Shoes - 2006 Remaster,Songs of Faith and Devotion (2006 Remaster),Depeche Mode,3/22/1993,326106,47,0.535,0.0888,0.535,0.702,8.54E-06,0.302,-9.804,0.0294,93.083,4
108,Kryptonite,The Better Life,3 Doors Down,2000,233933,78,0.545,0.00664,0.545,0.865,1.10E-05,0.168,-5.708,0.0286,99.009,4
109,Glycerine,Sixteen Stone (Remastered),Bush,10/14/2014,266493,63,0.437,0.0371,0.437,0.337,0.000946,0.0981,-11.439,0.0326,114.239,4
110,Circle,Sister Sweetly,Big Head Todd and The Monsters,2/23/1993,370466,34,0.525,0.0141,0.525,0.728,0.000211,0.695,-7.758,0.0381,152.022,4
111,Superman's Song,The Ghosts That Haunt Me,Crash Test Dummies,4/5/1991,271600,41,0.406,0.613,0.406,0.124,1.08E-06,0.108,-19.825,0.0342,168.4,4
112,The Freshmen,Villains,The Verve Pipe,3/25/1996,269466,61,0.571,0.0757,0.571,0.505,1.04E-05,0.109,-9.312,0.0238,99.562,4
113,Jesus Freak - Owl City Remix,Jesus Freak (Owl City Remix),DC Talk,1/1/2021,259083,41,0.731,0.0323,0.731,0.892,0.000398,0.287,-2.901,0.0492,104.499,4
114,One Headlight,Bringing Down The Horse,The Wallflowers,1/1/1996,312626,70,0.701,0.000655,0.701,0.539,0.005,0.0589,-8.968,0.0277,107.531,4
115,Look After You,How To Save A Life,The Fray,9/13/2005,266773,65,0.447,0.0575,0.447,0.592,4.47E-06,0.13,-3.015,0.0319,78.039,4
116,Heartless,Through the Years: The Best of The Fray,The Fray,11/4/2016,255906,48,0.394,0.675,0.394,0.693,0,0.115,-6.993,0.0938,164.004,4
117,Who Am I?,Autopilot,The Samples,9/12/1994,293093,5,0.663,0.149,0.663,0.597,0.171,0.0399,-8.668,0.0267,120.099,4
118,Don't Take The Girl,Not A Moment Too Soon,Tim McGraw,3/22/1994,249360,58,0.439,0.279,0.439,0.454,0,0.123,-8.669,0.0308,204.263,4
119,No Woman No Cry,Legend (Deluxe Edition),Bob Marley & The Wailers,5/1/1984,251066,52,0.863,0.0699,0.863,0.433,0,0.0553,-11.1,0.0383,97.067,4
120,Simple Man,Pronounced' Leh-'Nerd 'Skin-'Nerd,Lynyrd Skynyrd,1/1/1973,356626,69,0.422,0.0366,0.422,0.752,0.000119,0.129,-8.682,0.0449,120.471,4
121,Hallelujah,Grace,Jeff Buckley,1994,413826,72,0.324,0.931,0.324,0.136,0.00117,0.176,-10.33,0.0318,97.256,3
122,Say You Won't Let Go,Back from the Edge,James Arthur,10/28/2016,211466,85,0.358,0.695,0.358,0.557,0,0.0902,-7.398,0.059,85.043,4
123,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,5/17/2019,220492,83,0.736,0.946,0.736,0.308,0,0.186,-7.83,0.0677,111.202,4
124,Goodbye My Lover,Back to Bedlam,James Blunt,8/8/2005,258653,67,0.432,0.953,0.432,0.261,0.00342,0.0903,-12.591,0.0512,89.567,4
125,"Once Upon a December (From The ""Anastasia"" Soundtrack)",The Essential Liz Callaway,Liz Callaway,11/24/2015,168733,56,0.268,0.646,0.268,0.305,2.50E-05,0.169,-12.608,0.0379,135.806,3
126,Broken Angel,All We Have Left,Boyce Avenue,6/15/2010,321226,34,0.338,0.0609,0.338,0.758,0,0.366,-3.739,0.0345,165.822,3
127,The Distance,Fashion Nugget,Cake,1996,179653,53,0.463,0.00796,0.463,0.749,0.00219,0.0558,-8.118,0.0891,183.048,4
128,How Does A Duck Know?,God Shuffled His Feet,Crash Test Dummies,4/5/1993,222426,31,0.69,0.0017,0.69,0.805,0.0283,0.162,-6.454,0.0405,98.02,4
129,Oceans (Where Feet May Fail),Zion (Deluxe Edition),Hillsong UNITED,2/26/2013,535962,68,0.262,0.508,0.262,0.361,0.00268,0.108,-10.187,0.0333,126.786,4
130,Aloha Ke Akua,Dark As Night,Nahko And Medicine For The People,5/21/2013,356625,43,0.488,0.0546,0.488,0.676,0,0.0986,-6.532,0.0989,122.891,4
131,Somewhere Over The Rainbow_What A Wonderful World,Facing Future,Israel Kamakawiwo'ole,11/1/1993,308026,69,0.663,0.928,0.663,0.168,5.68E-05,0.361,-13.725,0.0448,85.005,4
132,Ya Got Trouble,The Music Man (Original Broadway Cast),Original Broadway Cast,1/1/1958,227666,36,0.677,0.475,0.677,0.419,0,0.473,-14.513,0.703,121.588,4
133,Shipoopi,The Music Man (Original Broadway Cast),Original Broadway Cast,1/1/1958,131626,30,0.634,0.339,0.634,0.495,0,0.299,-11.078,0.198,140.702,4
134,The Sound of Silence,Immortalized,Disturbed,8/21/2015,248466,72,0.322,0.468,0.322,0.28,1.10E-06,0.102,-9.367,0.0281,85.794,4
135,The Boxer,Babel (Deluxe Version),Mumford & Sons,9/25/2012,245400,45,0.467,0.649,0.467,0.37,4.42E-05,0.0949,-11.231,0.032,98.646,4
136,Head Full Of Doubt/Road Full Of Promise,I And Love And You,The Avett Brothers,1/1/2009,287986,58,0.309,0.399,0.309,0.459,1.34E-05,0.12,-7.29,0.0347,175.809,3
137,Black,Ten,Pearl Jam,8/27/1991,342653,73,0.36,0.323,0.36,0.684,0,0.34,-6.457,0.0308,77.15,4
138,Just Breathe,Backspacer,Pearl Jam,9/19/2009,215853,68,0.473,0.721,0.473,0.348,7.42E-05,0.0823,-11.1,0.0288,107.819,4
139,Hunger Strike,Temple Of The Dog,Temple Of The Dog,1/1/1990,246266,60,0.373,0.0236,0.373,0.567,3.47E-06,0.0916,-10.835,0.032,137.789,4
140,I Am A Man Of Constant Sorrow - Radio Edit,"O Brother, Where Art Thou? (Original Motion Picture Soundtrack)",Various Artists,12/5/2000,190000,60,0.564,0.666,0.564,0.328,0,0.0915,-13.096,0.0292,85.881,4
141,Hurt,American IV: The Man Comes Around,Johnny Cash,1/1/2002,216533,74,0.534,0.649,0.534,0.392,0.000227,0.0948,-7.636,0.0267,90.379,4
142,Shit Towne,Throwing Copper,Live,1/1/1994,228066,38,0.267,0.000283,0.267,0.885,0.000333,0.0795,-5.778,0.0571,128.384,4
